age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
50,4,30731,11,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
38,2,299810,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
23,2,129767,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1721,40,United-States,<=50K
39,0,257175,13,Divorced,Tech-support,Unmarried,Black,Female,0,625,40,United-States,<=50K
45,2,174426,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,>50K
63,4,344128,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
41,2,34278,11,Separated,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,2,105749,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
40,2,237601,13,Never-married,Sales,Not-in-family,Other,Female,0,0,55,United-States,<=50K
24,0,219519,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
32,2,131584,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,>50K
40,2,190044,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
21,2,218957,7,Never-married,Craft-repair,Own-child,White,Male,0,0,45,United-States,<=50K
17,2,227960,7,Never-married,Other-service,Own-child,White,Male,0,0,10,Puerto-Rico,<=50K
45,2,142287,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
32,2,133861,13,Never-married,Exec-managerial,Not-in-family,White,Male,13550,0,48,United-States,>50K
19,2,533147,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
22,2,59924,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
19,2,160811,9,Never-married,Sales,Own-child,White,Male,0,0,38,United-States,<=50K
35,2,288158,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,2,111567,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
23,2,69911,1,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
63,2,210350,3,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,32,Mexico,<=50K
19,3,108551,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
58,2,51662,6,Married-civ-spouse,Other-service,Wife,White,Female,0,0,8,United-States,<=50K
42,1,445382,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
55,1,168790,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,<=50K
20,2,208908,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
51,2,305147,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,2,358382,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,52,United-States,<=50K
26,2,214069,9,Separated,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,2,245090,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Nicaragua,<=50K
31,0,206823,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0,50,United-States,<=50K
48,2,185039,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,2,181776,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,2,214415,10,Separated,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
24,2,194654,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
54,2,333301,6,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
33,2,388741,10,Never-married,Adm-clerical,Unmarried,Other,Female,0,0,38,United-States,<=50K
30,5,169496,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
23,2,180339,12,Never-married,Sales,Own-child,White,Female,0,0,65,United-States,<=50K
52,2,127315,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
51,2,256908,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
35,2,268292,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,<=50K
44,2,136986,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
42,2,113324,9,Widowed,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
46,2,133616,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,2,175537,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
39,2,356838,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,12,United-States,<=50K
40,2,77572,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
49,2,111558,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1977,25,United-States,>50K
28,4,119793,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,2,370057,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,2,216741,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
60,2,226949,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,<=50K
17,2,220562,5,Never-married,Sales,Other-relative,Other,Female,0,0,32,Mexico,<=50K
67,2,233022,7,Widowed,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
57,2,31532,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
28,2,233796,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,32,United-States,>50K
56,2,77415,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
39,2,115076,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
39,2,201410,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
34,1,32587,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
23,4,289116,9,Divorced,Other-service,Unmarried,White,Female,0,0,50,United-States,<=50K
58,2,71283,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,38,United-States,<=50K
63,2,190296,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,>50K
32,2,180603,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
42,4,177937,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,45,Poland,<=50K
21,1,129050,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K
54,3,125417,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
48,1,116601,14,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,50,Nicaragua,<=50K
39,2,355468,9,Married-civ-spouse,Sales,Husband,White,Male,0,1887,46,United-States,>50K
45,2,206459,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
34,2,107914,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,47,United-States,>50K
18,2,138266,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
22,2,126613,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,France,<=50K
54,2,215990,10,Married-civ-spouse,Tech-support,Husband,White,Male,7688,0,40,United-States,>50K
29,2,258862,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,45,United-States,<=50K
20,2,201729,10,Never-married,Protective-serv,Own-child,White,Male,0,0,33,United-States,<=50K
63,5,99823,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,32,United-States,<=50K
63,2,176696,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,2,204692,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,1,205931,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,37,United-States,<=50K
17,2,124661,7,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
26,5,158963,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
40,2,291192,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,0,344415,14,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,1887,40,United-States,>50K
28,2,56340,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
47,0,99549,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
25,2,73289,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
42,2,27444,10,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,2,263641,9,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
65,2,174056,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
31,2,27494,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,50,Taiwan,<=50K
35,4,112497,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,35,Ireland,<=50K
52,0,279337,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
54,2,548361,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,98,United-States,>50K
33,2,227282,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
38,3,115487,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
35,2,54159,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,<=50K
21,2,321666,9,Never-married,Craft-repair,Own-child,White,Male,594,0,40,United-States,<=50K
31,5,174957,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
27,2,292472,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,<=50K
21,2,70261,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
45,2,261192,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
30,2,188798,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
42,2,110318,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,2,187618,13,Never-married,Prof-specialty,Own-child,White,Male,0,1741,40,United-States,<=50K
55,2,359972,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States,>50K
58,2,106740,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
49,2,332355,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
25,2,212311,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
74,2,148867,10,Married-civ-spouse,Sales,Husband,White,Male,6418,0,24,United-States,>50K
20,2,47678,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
30,2,172403,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
48,2,287547,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
21,2,164920,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
23,2,398130,9,Divorced,Sales,Not-in-family,White,Male,0,0,96,United-States,<=50K
47,4,126500,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
65,4,135517,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
38,0,214542,10,Divorced,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
23,2,206827,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
42,2,66755,4,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-States,<=50K
45,4,298130,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States,<=50K
57,3,199768,9,Married-civ-spouse,Sales,Husband,White,Male,0,1902,30,United-States,>50K
22,2,100188,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
24,2,293091,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
26,4,389856,13,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
45,2,174794,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,56,Germany,<=50K
42,2,168103,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
48,2,355320,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Canada,>50K
38,3,312232,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
37,1,343052,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
50,2,211654,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
57,4,200316,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
24,2,241752,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
57,2,136107,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
53,4,237729,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,3411,0,65,United-States,<=50K
62,4,158712,9,Never-married,Other-service,Unmarried,White,Female,0,0,6,United-States,<=50K
78,4,152148,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
35,2,63021,10,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
24,2,109813,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3137,0,40,United-States,<=50K
31,2,310773,10,Separated,Sales,Unmarried,White,Female,0,0,40,Mexico,<=50K
39,5,275300,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
44,2,121130,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
33,2,144949,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
42,3,50356,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
26,2,136309,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,2,192286,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,52,United-States,<=50K
34,2,154120,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
23,2,197200,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,60,United-States,<=50K
54,2,186272,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3908,0,50,United-States,<=50K
31,0,108464,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
28,2,95725,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
55,2,35551,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,2,149507,11,Married-civ-spouse,Craft-repair,Husband,White,Male,3464,0,38,United-States,<=50K
39,2,370549,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,<=50K
32,2,344129,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,0,73070,14,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K
26,2,379246,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,2,308691,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
52,2,173987,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
29,2,86613,2,Never-married,Other-service,Not-in-family,White,Male,0,0,20,El-Salvador,<=50K
26,2,37650,10,Divorced,Prof-specialty,Not-in-family,White,Female,5060,0,40,United-States,<=50K
49,2,39986,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,2,191703,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
